[2026-03-19 13:51:31] thread=124785270974144      file=file1.txt            result=ABORTED  time=0.001s
[2026-03-19 13:51:41] thread=132063204206272      file=file1.txt            result=ABORTED  time=0.001s
[2026-03-19 13:51:56] thread=123675284068032      file=file3.txt            result=OK       time=0.001s
[2026-03-19 13:51:56] thread=123675300853440      file=file1.txt            result=OK       time=0.001s
[2026-03-19 13:51:56] thread=123675292460736      file=file2.txt            result=OK       time=0.001s
[2026-03-19 13:54:10] thread=134281116509888      file=file2.txt            result=OK       time=0.001s
[2026-03-19 13:54:10] thread=134281124902592      file=file1.txt            result=OK       time=0.001s
[2026-03-19 13:54:10] thread=134281099724480      file=file3.txt            result=OK       time=0.000s
[2026-03-19 14:24:03] thread=127060966102720      file=caesar.h             result=OK       time=0.000s
[2026-03-19 14:24:03] thread=127060974495424      file=caesar.cpp           result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060982888128      file=Makefile             result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060966102720      file=file1.txt            result=OK       time=0.000s
[2026-03-19 14:24:03] thread=127060974495424      file=caesar.o             result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060982888128      file=file2.txt            result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060966102720      file=file3.txt            result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060974495424      file=input.txt            result=OK       time=0.000s
[2026-03-19 14:24:03] thread=127060982888128      file=libcaesar.so         result=OK       time=0.000s
[2026-03-19 14:24:03] thread=127060982888128      file=out                  result=OK       time=0.000s
[2026-03-19 14:24:03] thread=127060974495424      file=os_pr1.cpp           result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060966102720      file=log.txt              result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060982888128      file=output_dir           result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060966102720      file=secure_copy.cpp      result=OK       time=0.001s
[2026-03-19 14:24:03] thread=127060974495424      file=secure_copy          result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271774697152      file=/tmp/out/Makefile    result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271766304448      file=/tmp/out/caesar.cpp  result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/caesar.h    result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/file2.txt   result=OK       time=0.000s
[2026-03-19 14:24:13] thread=131271774697152      file=/tmp/out/caesar.o    result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271766304448      file=/tmp/out/file1.txt   result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271774697152      file=/tmp/out/input.txt   result=OK       time=0.000s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/file3.txt   result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/os_pr1.cpp  result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/out         result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/output_dir  result=OK       time=0.000s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/secure_copy result=OK       time=0.001s
[2026-03-19 14:24:13] thread=131271766304448      file=/tmp/out/libcaesar.so result=OK       time=0.004s
[2026-03-19 14:24:13] thread=131271774697152      file=/tmp/out/log.txt     result=OK       time=0.028s
[2026-03-19 14:24:13] thread=131271648868032      file=/tmp/out/secure_copy.cpp result=OK       time=0.025s
